,Degree,Betweenness,Closeness,Eigenvector
UBE2I,0.06576086956521739,0.00010520840721564177,0.718434075469982,0.0298283121265172
CD4,0.16521739130434782,0.0016055118172289603,0.8051342946038668,0.07937093101552964
CDH1,0.15380434782608696,0.0014933092181478593,0.8139513855257056,0.07586414153736373
KCNN4,0.009782608695652175,2.009598789512259e-05,0.5398918727967492,0.002304613666763501
RAB5A,0.03858695652173913,0.00013077168593517274,0.6658634207989942,0.016990562594871788
TARDBP,0.051086956521739134,9.63425302030877e-05,0.6820526573314124,0.017226010722042127
KRT18,0.04076086956521739,7.979289311298678e-05,0.6428728610556114,0.020179679007030497
RAB11A,0.03260869565217391,6.028796368536778e-05,0.6546353972387052,0.01355558654441024
KRT8,0.035326086956521736,0.000128850745915786,0.6513637428364645,0.017007909603635196
NEDD4L,0.025,4.063526964087288e-05,0.66066831164378,0.011715465891929198
HSPB1,0.06086956521739131,0.00016948601555665893,0.7439200467420007,0.033526987827383455
HDAC6,0.07173913043478261,0.0001561872000378278,0.7501193687172284,0.03644101753103048
ANO1,0.00923913043478261,2.6006572570158645e-05,0.5683748750088465,0.0036869895506313646
SPINK1,0.0038043478260869567,1.182116935007211e-06,0.5564226805058697,0.001482393146470048
EZR,0.04728260869565217,0.00010639052415064901,0.7064086036829078,0.02182600426673091
YWHAZ,0.08152173913043478,0.00031444310471191814,0.7706109746646067,0.03798344303897037
CANX,0.04673913043478261,0.0005018086389105611,0.669417438853208,0.017778809315514153
VCP,0.07554347826086956,0.00028533347518736567,0.7241604058158452,0.02841661236545984
PRKAA1,0.026630434782608695,9.161406246305888e-05,0.6613083030610823,0.012867880257702788
TJP1,0.06195652173913044,0.00020421070052249572,0.7215245211955024,0.03423024665639243
STUB1,0.07608695652173914,0.0004771319478922855,0.7645504781520053,0.03836168956742173
HSPA8,0.1108695652173913,0.000503581814313072,0.7974473861632629,0.049277384165164285
HSP90AA1,0.19293478260869565,0.0014798626380121524,0.9004508697473841,0.09544924916810538
SLC9A3R1,0.01847826086956522,4.3738326595266816e-05,0.667264923390171,0.009137372657870105
XBP1,0.05434782608695652,9.220512093056248e-05,0.6920886849049331,0.029876447280301678
PLCG1,0.057608695652173914,8.412732187467987e-05,0.7382231991215207,0.031617345839714206
LGALS3,0.07336956521739131,0.0002336158592808001,0.7413207261220098,0.03942750627568757
SNAP25,0.015217391304347827,3.575903728396814e-05,0.5799477937800486,0.006339353040893621
TRPA1,0.014673913043478261,6.472090219164481e-05,0.5424296789018909,0.00475612927453216
MAPK3,0.17989130434782608,0.0012387107832706812,0.8610576664277108,0.09279223962846617
HDAC4,0.05652173913043478,0.00010579946568314539,0.7057963011979583,0.0313237799158597
STAT3,0.2326086956521739,0.0014203134974111638,0.9247862581355968,0.12005799196877465
PML,0.04076086956521739,0.00011791616426696934,0.7008623336205998,0.02383839843272377
SIGMAR1,0.017934782608695653,2.6597631037662252e-05,0.5920858032689222,0.005693993240273323
GJA1,0.05326086956521739,0.000289175355226139,0.6971956081343699,0.025390772577147
HSPA9,0.049456521739130434,0.00015988131545972533,0.7282673956178201,0.02021370511370637
PHB,0.05,0.0002785363028110741,0.6685975967704472,0.018193037342936612
AGT,0.09619565217391304,0.0007629087169302788,0.7288199203378882,0.04497099661923305
PPP2CA,0.06141304347826087,0.00010254864411187558,0.7397444449663203,0.030808043444381584
PRKCD,0.051630434782608696,0.0001377166229283401,0.7247943829289198,0.030405652191950534
TRPV1,0.02717391304347826,0.0001299343531062093,0.6368821834505988,0.012379696362104032
GRIN2B,0.02826086956521739,4.935338203655106e-05,0.673097133965453,0.012775912292499542
CASP3,0.20978260869565218,0.002328228558368994,0.860935678029737,0.1003016627128425
DNM1L,0.04021739130434783,0.00011525640116320308,0.6321055900194672,0.017361381148905963
EIF2AK3,0.06195652173913044,0.00030203087689434246,0.6999175933782821,0.036492335869791864
DDIT3,0.04076086956521739,9.900229330685391e-05,0.6679553852051068,0.023133722058319366
TRPM8,0.005978260869565218,8.718112395678182e-06,0.5121911774654417,0.0009912130370946367
GSK3B,0.1592391304347826,0.0008759486488403431,0.8319696319230162,0.08074499628350354
TRPM2,0.0038043478260869567,0.0,0.4493487695678589,0.0002853631297577769
ATF6,0.044021739130434785,9.235288554743836e-05,0.6604707798611553,0.024102127860867607
TRPM7,0.008695652173913044,1.1525640116320307e-05,0.4662062671017746,0.0010715300474315808
LYN,0.07391304347826087,0.00018214451773569448,0.739329010943952,0.04324438719190886
BDNF,0.10271739130434783,0.0005257465068444571,0.7613631127872366,0.05124865434748449
PTEN,0.19402173913043477,0.0018086389105610328,0.8478554454810093,0.09463957393825412
GRB2,0.0891304347826087,9.752464713809493e-05,0.7930183910978624,0.05219777877503417
BTK,0.05652173913043478,0.00012353121970825356,0.6988577799922256,0.03245815094279348
ATG5,0.07445652173913044,0.00021810057450883047,0.7143426091645655,0.03773823397198035
CAV1,0.10923913043478262,0.0006160799426279249,0.8079973444267873,0.05724042277333337
PINK1,0.05489130434782609,0.00014835567534340498,0.7009060679845123,0.024842197474533725
TRPC6,0.017391304347826087,0.0001255999243445162,0.5765529548356874,0.00577108797564787
ERN1,0.042934782608695654,1.950492942761898e-05,0.6911518495432114,0.023588711997382
MCL1,0.10271739130434783,0.0006095290446130931,0.7520872946393647,0.05600929711521842
MFN2,0.042391304347826085,0.00010816369955315984,0.6586536534482285,0.01829383312043405
CALR,0.07228260869565217,0.00037546989148166547,0.712519462397936,0.03190313489544034
BCL2L1,0.12173913043478261,0.0004718124216847531,0.7996743570191891,0.06964384508135221
KAT5,0.04891304347826087,6.767619452916283e-05,0.7437010789755637,0.02693456783789521
PLCE1,0.010869565217391304,1.182116935007211e-06,0.6127758329584818,0.005761318262155603
PRKCB,0.04076086956521739,0.00011377875499444409,0.6958419666585691,0.021437061303538913
PRKCA,0.075,0.00031547745703004954,0.7484613767310894,0.04007167996474455
PSEN1,0.04673913043478261,0.00014008085679835454,0.7198156420655307,0.020932924917990696
PSEN2,0.026086956521739132,4.0783034257748784e-05,0.6299333345537643,0.00939220533244907
AKT1,0.29728260869565215,0.0052174208572712015,0.9681580932831205,0.1330398511592679
TRPC1,0.015217391304347827,0.0001702248386410385,0.5900647377889129,0.004783515523605471
BCL2,0.22010869565217392,0.0019890595077665086,0.8811085952350425,0.10671025160327427
ATXN2,0.024456521739130436,8.008842234673855e-05,0.5810429069241227,0.0067189273093733095
VDAC1,0.05923913043478261,0.00013505685982457383,0.7246106628141183,0.02762349599812652
ATXN3,0.024456521739130436,3.369033264770552e-05,0.6410144841052912,0.010385362935928162
BECN1,0.10597826086956522,0.00024824455635151434,0.7898789901903996,0.05565753587014785
CX3CL1,0.043478260869565216,4.994444050405467e-05,0.6362896084875976,0.02545614504792138
CD74,0.043478260869565216,3.649786036834765e-05,0.6603408426489107,0.020820363432134604
TNFRSF1A,0.09619565217391304,0.00037532212686478954,0.7689466552333691,0.05516338696711335
SIRT1,0.14565217391304347,0.0006971534624205027,0.8064939556951182,0.07352940071353871
MIF,0.03369565217391304,9.043194552805164e-05,0.6504690943145047,0.019820211114638865
MAPK1,0.12282608695652174,0.0003564082559046741,0.8414655354706201,0.07225384845482366
HMOX1,0.0891304347826087,0.0005507187270964845,0.7183357878731496,0.047003408392530366
RIPK3,0.043478260869565216,9.722911790434311e-05,0.6934452499699879,0.023902215237306023
NFKBIA,0.1298913043478261,0.000774434357046599,0.7931842822467904,0.07098848468311306
MMP2,0.11141304347826086,0.0006662706574934393,0.7573572468596409,0.05956567634382756
MEFV,0.04021739130434783,5.349079130907631e-05,0.6413376227338456,0.020360839123829893
TGFB1,0.17119565217391305,0.0009433785690080461,0.8217112936030317,0.08537592941547839
HGF,0.08423913043478261,0.00019445823580868624,0.7390847507785411,0.04970438226655569
NOD1,0.03641304347826087,2.0687046362626195e-05,0.6641298856645079,0.020535545898206248
SERPINE1,0.08804347826086957,0.0006195770385606545,0.7051449216934829,0.043325378060594506
RPS6KB1,0.08423913043478261,0.00042659644892072726,0.7374274434956221,0.04718181842007378
CCL2,0.1423913043478261,0.0011887170878943345,0.776143517735686,0.07099980483638936
COL1A1,0.06576086956521739,0.00013564791829207747,0.6883643346333964,0.03410884870671142
NFKB1,0.20434782608695654,0.002279269215310779,0.8748361968072011,0.10505798982995514
SPI1,0.06195652173913044,0.00017377118944606005,0.6903042859407352,0.030701335554728613
CCND1,0.16304347826086957,0.0007572936614889946,0.8364973721842885,0.08826469204290216
IL23A,0.021739130434782608,1.6549637090100954e-05,0.6182994365166986,0.013501971556712919
MCAM,0.02391304347826087,4.787573586779206e-05,0.5717070493371214,0.010637693223743623
YY1,0.05597826086956522,5.8219259049105144e-05,0.7212354563921294,0.03160584386816285
PRKCQ,0.019021739130434784,2.9552923375180275e-06,0.6642602150634949,0.012232340931083703
PIK3CD,0.04673913043478261,3.428139111520913e-05,0.7394582479412534,0.030903955765586005
KLF4,0.0766304347826087,0.0002915395890961535,0.7184406653532612,0.04183527866073475
MET,0.0875,0.0003614322528784548,0.7715449506723607,0.05043242068856002
S100A9,0.026630434782608695,5.26042036078209e-05,0.5921704540335077,0.0123292762799333
NOX4,0.0483695652173913,0.00015899472775846995,0.6643959010116954,0.026069143432580898
SMAD4,0.1125,0.0004137409272525238,0.7844735491682538,0.06366794550830468
PPARD,0.04619565217391305,0.0001520497907653025,0.6402262342162889,0.02519331424069112
MKI67,0.035326086956521736,6.664184221103153e-05,0.616262794406733,0.018006650505596133
ALOX5,0.019021739130434784,6.915384069792186e-05,0.586696939472228,0.011073576915946157
CASP10,0.02282608695652174,3.413362649833321e-05,0.6732820541363437,0.013980391258097087
LDHA,0.03967391304347826,0.00014540038300588697,0.6621812787456197,0.019839964522311612
HDAC1,0.12282608695652174,0.0007708387513692853,0.8095215224253465,0.06525000315217826
ABL1,0.09402173913043478,0.00033572120954204797,0.7732971755621934,0.05170979124216972
KLF2,0.03641304347826087,0.00025090431945528057,0.6334252303411138,0.020206542951288955
XDH,0.027717391304347826,4.787573586779204e-05,0.5906414572908033,0.015580666522930458
SOD1,0.07173913043478261,0.0004410773813745656,0.7157107571485708,0.03197471059537671
ETS1,0.05434782608695652,0.00014126297373336173,0.7043220700613768,0.0316471751327425
EGR1,0.0782608695652174,0.0003607426846663673,0.7470808355228128,0.04484141311657888
PROM1,0.06032608695652174,7.24046622691917e-05,0.6863069682860431,0.0353371912779435
WT1,0.04891304347826087,0.00015781261082346268,0.6885418368010958,0.02422605311199419
NR4A1,0.04184782608695652,8.924982859304444e-05,0.7097873188094311,0.02552045895295378
DNMT1,0.08152173913043478,0.00019578811736056933,0.741442365888849,0.0448775161909316
XIAP,0.08043478260869566,0.0002897664136936426,0.7475682443485714,0.04681186586480006
PYCARD,0.029891304347826088,4.787573586779205e-05,0.6411793545007842,0.015858082456533446
ANGPT1,0.04021739130434783,1.9504929427618982e-05,0.6580106558454388,0.024152688559246186
FOXO3,0.11521739130434783,0.0006389834582436895,0.8060160877300327,0.0658948524672474
ABCA1,0.029347826086956522,2.9552923375180277e-05,0.6432791379314011,0.015594449828777711
CDKN1A,0.11467391304347826,0.0004630943092890748,0.7851573810707217,0.0660006674720599
DUSP1,0.0391304347826087,3.073504031018749e-05,0.6686470166314679,0.024523355135991808
ANGPT2,0.03804347826086957,3.3690332647705514e-05,0.657553638952198,0.021768775126223012
ATM,0.11630434782608695,0.000756407073787739,0.7613455967282282,0.061296178413627354
ATG16L1,0.03423913043478261,3.694115421897535e-05,0.6301070031633335,0.015854687041463207
LMNA,0.05,0.00010993687495567063,0.6622784160189195,0.026205784890501932
FADD,0.059782608695652176,0.00013476133059082208,0.7270541803100528,0.03592191678158098
EP300,0.14673913043478262,0.0006191337447100267,0.8646779004624211,0.08202458349729147
RIPK1,0.06086956521739131,0.00014303614913587257,0.7407925423601578,0.0360670699815509
MMP13,0.04021739130434783,3.250821571269831e-05,0.6405473138865898,0.024705006826744976
TGM2,0.021739130434782608,1.9504929427618982e-05,0.6057374534574769,0.00999377354093852
TRIM21,0.03804347826086957,0.00013446580135707028,0.6774233700013708,0.01658321345588957
CTSL,0.03369565217391304,8.156606851549757e-05,0.6297101762615133,0.014496174031746646
ATF3,0.05489130434782609,7.506442537295791e-05,0.7189584119774454,0.03407136797328798
SMAD7,0.051630434782608696,6.265219755538218e-05,0.7051100727764368,0.03170921985046449
S100A8,0.030434782608695653,2.2755750998888814e-05,0.6602028258546444,0.018929259026360386
KEAP1,0.07228260869565217,0.00021987374991134126,0.7229781908653701,0.041710829084541386
IL12A,0.014673913043478261,2.9552923375180275e-06,0.5731041972229552,0.008590764869761023
UCHL1,0.03804347826086957,0.00020864363902877277,0.6937660967343271,0.01750242222175854
BSG,0.044021739130434785,5.703714211409793e-05,0.6865876000814756,0.023880058942417275
FLT1,0.06467391304347826,0.0001455481476227629,0.6985829655123889,0.03777097390206501
IKBKE,0.04076086956521739,4.373832659526681e-05,0.6874424989488696,0.02331303318492088
TTR,0.03097826086956522,0.0002659763103766225,0.620622235163528,0.011332511185685195
OLR1,0.019021739130434784,1.8913870960115376e-05,0.5724646415540197,0.010720516456827272
BIRC5,0.04673913043478261,0.00010077546870936473,0.6995611133652324,0.02739195376988369
NOTCH1,0.12608695652173912,0.0007403007305482658,0.7786647266770975,0.06683010276577935
TNFSF12,0.015217391304347827,0.0,0.6032781576081149,0.008923449131213256
SLC2A1,0.05706521739130435,0.00029020970754427034,0.7135326567338428,0.02989044399927968
TRAF3,0.05380434782608696,0.00011422204884507175,0.7060423370311613,0.03178486160049941
MAPT,0.06956521739130435,0.00044166843984206917,0.756348939942845,0.030449884598348045
NLRP1,0.027717391304347826,2.305128023264062e-05,0.6451575967076998,0.015007053295501
PGF,0.03206521739130435,1.536752015509374e-05,0.6442596440038199,0.019065903408920847
RNASEL,0.026630434782608695,7.624654230796511e-05,0.5613704633168173,0.010662754400442627
CFLAR,0.043478260869565216,7.831524694422773e-05,0.683090590324548,0.0285002485521018
BST2,0.021195652173913043,1.2412227817575716e-05,0.578062775992901,0.008612099462670076
TNFRSF10B,0.04565217391304348,0.0001485034399602809,0.7025978851364328,0.026280421987043216
PARP1,0.13043478260869565,0.0008506808993545641,0.7727475619918659,0.06767127844357497
ANXA1,0.04673913043478261,0.00020893916826252463,0.6819701063378281,0.024340437740681883
